       138 MEMB     2        POPG     OC3      OHL     -0.650000       15.9994           0
       139 MEMB     2        POPG     HO3      HOL      0.420000       1.00800           0
       140 MEMB     2        POPG     C12      CTL1     0.140000       12.0110           0
       141 MEMB     2        POPG     H12A     HAL1     0.900000E-01   1.00800           0
       142 MEMB     2        POPG     OC2      OHL     -0.650000       15.9994           0
       143 MEMB     2        POPG     HO2      HOL      0.420000       1.00800           0
       144 MEMB     2        POPG     C11      CTL2    -0.800000E-01   12.0110           0
       145 MEMB     2        POPG     H11A     HAL2     0.900000E-01   1.00800           0
       146 MEMB     2        POPG     H11B     HAL2     0.900000E-01   1.00800           0
       147 MEMB     2        POPG     P        PL       1.50000        30.9740           0
       148 MEMB     2        POPG     O13      O2L     -0.780000       15.9994           0
       149 MEMB     2        POPG     O14      O2L     -0.780000       15.9994           0
       150 MEMB     2        POPG     O12      OSLP    -0.570000       15.9994           0
       151 MEMB     2        POPG     O11      OSLP    -0.570000       15.9994           0
       152 MEMB     2        POPG     C1       CTL2    -0.800000E-01   12.0110           0
       153 MEMB     2        POPG     HA       HAL2     0.900000E-01   1.00800           0
       154 MEMB     2        POPG     HB       HAL2     0.900000E-01   1.00800           0
       155 MEMB     2        POPG     C2       CTL1     0.170000       12.0110           0
       156 MEMB     2        POPG     HS       HAL1     0.900000E-01   1.00800           0
       157 MEMB     2        POPG     O21      OSL     -0.490000       15.9994           0
       158 MEMB     2        POPG     C21      CL       0.900000       12.0110           0
       159 MEMB     2        POPG     O22      OBL     -0.630000       15.9994           0
       160 MEMB     2        POPG     C22      CTL2    -0.220000       12.0110           0
       161 MEMB     2        POPG     H2R      HAL2     0.900000E-01   1.00800           0
       162 MEMB     2        POPG     H2S      HAL2     0.900000E-01   1.00800           0
       163 MEMB     2        POPG     C3       CTL2     0.800000E-01   12.0110           0
       164 MEMB     2        POPG     HX       HAL2     0.900000E-01   1.00800           0
       165 MEMB     2        POPG     HY       HAL2     0.900000E-01   1.00800           0
       166 MEMB     2        POPG     O31      OSL     -0.490000       15.9994           0
       167 MEMB     2        POPG     C31      CL       0.900000       12.0110           0
       168 MEMB     2        POPG     O32      OBL     -0.630000       15.9994           0
       169 MEMB     2        POPG     C32      CTL2    -0.220000       12.0110           0
       170 MEMB     2        POPG     H2X      HAL2     0.900000E-01   1.00800           0
       171 MEMB     2        POPG     H2Y      HAL2     0.900000E-01   1.00800           0
       172 MEMB     2        POPG     C23      CTL2    -0.180000       12.0110           0
       173 MEMB     2        POPG     H3R      HAL2     0.900000E-01   1.00800           0
       174 MEMB     2        POPG     H3S      HAL2     0.900000E-01   1.00800           0
       175 MEMB     2        POPG     C24      CTL2    -0.180000       12.0110           0
       176 MEMB     2        POPG     H4R      HAL2     0.900000E-01   1.00800           0
       177 MEMB     2        POPG     H4S      HAL2     0.900000E-01   1.00800           0
       178 MEMB     2        POPG     C25      CTL2    -0.180000       12.0110           0
       179 MEMB     2        POPG     H5R      HAL2     0.900000E-01   1.00800           0
       180 MEMB     2        POPG     H5S      HAL2     0.900000E-01   1.00800           0
       181 MEMB     2        POPG     C26      CTL2    -0.180000       12.0110           0
       182 MEMB     2        POPG     H6R      HAL2     0.900000E-01   1.00800           0
       183 MEMB     2        POPG     H6S      HAL2     0.900000E-01   1.00800           0
       184 MEMB     2        POPG     C27      CTL2    -0.180000       12.0110           0
       185 MEMB     2        POPG     H7R      HAL2     0.900000E-01   1.00800           0
       186 MEMB     2        POPG     H7S      HAL2     0.900000E-01   1.00800           0
       187 MEMB     2        POPG     C28      CTL2    -0.180000       12.0110           0
       188 MEMB     2        POPG     H8R      HAL2     0.900000E-01   1.00800           0
       189 MEMB     2        POPG     H8S      HAL2     0.900000E-01   1.00800           0
       190 MEMB     2        POPG     C29      CEL1    -0.150000       12.0110           0
       191 MEMB     2        POPG     H91      HEL1     0.150000       1.00800           0
       192 MEMB     2        POPG     C210     CEL1    -0.150000       12.0110           0
       193 MEMB     2        POPG     H101     HEL1     0.150000       1.00800           0
       194 MEMB     2        POPG     C211     CTL2    -0.180000       12.0110           0
       195 MEMB     2        POPG     H11R     HAL2     0.900000E-01   1.00800           0
       196 MEMB     2        POPG     H11S     HAL2     0.900000E-01   1.00800           0
       197 MEMB     2        POPG     C212     CTL2    -0.180000       12.0110           0
       198 MEMB     2        POPG     H12R     HAL2     0.900000E-01   1.00800           0
       199 MEMB     2        POPG     H12S     HAL2     0.900000E-01   1.00800           0
       200 MEMB     2        POPG     C213     CTL2    -0.180000       12.0110           0
       201 MEMB     2        POPG     H13R     HAL2     0.900000E-01   1.00800           0
       202 MEMB     2        POPG     H13S     HAL2     0.900000E-01   1.00800           0
       203 MEMB     2        POPG     C214     CTL2    -0.180000       12.0110           0
       204 MEMB     2        POPG     H14R     HAL2     0.900000E-01   1.00800           0
       205 MEMB     2        POPG     H14S     HAL2     0.900000E-01   1.00800           0
       206 MEMB     2        POPG     C215     CTL2    -0.180000       12.0110           0
       207 MEMB     2        POPG     H15R     HAL2     0.900000E-01   1.00800           0
