,PE_to_PC,PE_to_PC,PC_to_PG,PC_to_PG,PE_to_PG,PE_to_PG
,,,,,,
,f,errors,f,errors,f,errors
0.166667,32.87131490197501,0.10909454731766706,28.558830480642573,0.1419464896839667,33.44700282941903,0.12934275776170967
0.175,33.70530977667802,0.11093868930052792,29.12153720586933,0.1424497595552318,34.348299772172595,0.131609298661514
0.183333,34.4449066261358,0.11187595072527515,29.610773337448197,0.14280461492369464,34.8676797027128,0.1322164362361008
0.191667,34.95186918600815,0.11316491371473396,29.819727849387437,0.14350129203896972,35.13857992444918,0.1326998039066537
0.2,35.43913591354089,0.11685315511122296,30.101957909492064,0.14393381550538398,35.538092802646936,0.13456246153598295
0.208333,35.95889568737501,0.12068860586091405,30.355927474359426,0.1442944557848479,36.012435429094374,0.1363444796503498
0.216667,36.57082546143976,0.12340550129689754,30.769408223076315,0.14499748547688546,36.73477724166627,0.14072750307097673
0.225,37.078681628427546,0.12533197336745538,31.016482381597978,0.14547258623023576,37.097970556918185,0.14341205591483802
0.233333,37.44847050268717,0.12769947711654564,31.073840936425803,0.14612794019451425,37.18046769180913,0.14657815934665344
0.241667,37.85172369481048,0.13029170662249215,31.22903461682754,0.1466564614945483,37.32275541651811,0.15069989406903697
0.25,38.15182448160945,0.13318738787541004,31.196067519218246,0.14750349986195252,37.60738875250996,0.15212554062785522
0.258333,38.134366627320865,0.13640312284870906,30.968284114919378,0.14860968535036573,37.82529408015551,0.15375010897326893
0.266667,37.95041407347452,0.13696510402481674,30.658206053431496,0.1495862276446008,37.74942235068113,0.1561258784989843
0.275,37.920145357833896,0.13747304111547845,30.63886783974022,0.15564734213750728,37.69272688482991,0.15709243725461292
0.283333,37.77911640809439,0.13888299814006003,30.280710378945347,0.1606273210191762,37.529114629689985,0.15805556382536773
0.291667,37.88643933789366,0.1410179839829031,29.892790688923338,0.1619550654184225,37.31015874444904,0.16042040091358292
0.3,38.13469779551723,0.14352482329370675,29.57246363918509,0.16266513450844064,37.16601359044887,0.16084887968117756
0.308333,37.90730752918018,0.15689947281129568,29.227917199119968,0.1633378755502192,36.984897817572445,0.16104363640798872
0.316667,37.95702080327581,0.16262059827738928,28.95312053146774,0.16423243024214035,36.92099041478593,0.1613515608354717
0.325,37.576364751330246,0.16351992596961581,28.54021541536362,0.16458976705926745,36.548873065231795,0.16286749770556677
0.333333,37.19377364000783,0.16399743996333443,28.09900807506883,0.16497963735910204,36.18349107638059,0.16533695756339403
0.341667,36.78061284260991,0.1652941630075232,27.569445690179204,0.16555912218536348,35.75347380356999,0.16921759385918358
0.35,36.262789362811155,0.16612643660791343,27.12461531873133,0.16595066687051954,35.35418569711149,0.17096597102115155
0.358333,35.84548640265633,0.16659573926508797,26.72287783089003,0.16631903595287095,35.08484197359161,0.17173905747804713
0.366667,35.30014735684592,0.16732541234324252,26.13014742898817,0.16696219549341426,34.64350692228592,0.1720941594096384
0.375,34.96081833784745,0.1689146396007598,25.54112219066231,0.16924336392886324,34.31050048421333,0.1725677652314547
0.383333,34.7368923624919,0.1746180527755956,24.875342002691404,0.16977077008339886,34.23568834586595,0.17907956600145347
0.391667,34.228379586647875,0.18091668590823212,24.171290817155256,0.17006111448652092,34.127279069976666,0.1820251363592568
