Frame         Time          Elec          VdW           Nonbond       Total         
167           167000        -3.0462       -0.0843       -3.1305       -3.1305       
168           168000        -2.5514       -0.0722       -2.6236       -2.6236       
169           169000        -1.0545       -0.0697       -1.1242       -1.1242       
170           170000        -2.2889       -0.0879       -2.3768       -2.3768       
171           171000        -2.1164       -0.0755       -2.1919       -2.1919       
172           172000        -1.852        -0.0577       -1.9097       -1.9097       
173           173000        -0.898        -0.0705       -0.9685       -0.9685       
174           174000        -3.1419       -0.0879       -3.2298       -3.2298       
175           175000        -4.5744       -0.0863       -4.6607       -4.6607       
176           176000        -3.3028       -0.0688       -3.3716       -3.3716       
177           177000        -3.0385       -0.0623       -3.1008       -3.1008       
178           178000        -3.4157       -0.0574       -3.4731       -3.4731       
179           179000        -2.7084       -0.0587       -2.7671       -2.7671       
180           180000        -3.7197       -0.0841       -3.8038       -3.8038       
181           181000        -2.6528       -0.0597       -2.7125       -2.7125       
182           182000        -1.9847       -0.0534       -2.0381       -2.0381       
183           183000        -4.1548       -0.0677       -4.2225       -4.2225       
184           184000        -3.1523       -0.0618       -3.2141       -3.2141       
185           185000        -2.3266       -0.0417       -2.3683       -2.3683       
186           186000        -2.0913       -0.0678       -2.1591       -2.1591       
187           187000        -3.4685       -0.0563       -3.5248       -3.5248       
188           188000        -2.1698       -0.0413       -2.2111       -2.2111       
189           189000        -3.3316       -0.0623       -3.3939       -3.3939       
190           190000        -3.052        -0.0533       -3.1053       -3.1053       
191           191000        -1.7024       -0.0452       -1.7476       -1.7476       
192           192000        -2.91         -0.0563       -2.9663       -2.9663       
193           193000        -3.3345       -0.0796       -3.4141       -3.4141       
194           194000        -2.2779       -0.0629       -2.3408       -2.3408       
195           195000        -2.7346       -0.0872       -2.8218       -2.8218       
196           196000        -1.8312       -0.047        -1.8782       -1.8782       
197           197000        -3.0405       -0.0456       -3.0861       -3.0861       
198           198000        -2.5163       -0.0582       -2.5745       -2.5745       
199           199000        -2.8238       -0.0852       -2.909        -2.909        
200           200000        -2.6504       -0.0644       -2.7148       -2.7148       
201           201000        -3.3465       -0.0852       -3.4317       -3.4317       
202           202000        -3.1432       -0.0486       -3.1918       -3.1918       
203           203000        -2.3799       -0.0516       -2.4315       -2.4315       
204           204000        -2.1442       -0.0386       -2.1828       -2.1828       
205           205000        -2.6181       -0.0738       -2.6919       -2.6919       
206           206000        -3.517        -0.088        -3.605        -3.605        
207           207000        -2.5287       -0.0534       -2.5821       -2.5821       
208           208000        -2.9806       -0.0783       -3.0589       -3.0589       
209           209000        -2.2901       -0.0716       -2.3617       -2.3617       
210           210000        -3.9801       -0.0683       -4.0484       -4.0484       
211           211000        -3.2697       -0.0875       -3.3572       -3.3572       
212           212000        -2.543        -0.0505       -2.5935       -2.5935       
213           213000        -2.7941       -0.0578       -2.8519       -2.8519       
214           214000        -1.7039       -0.0598       -1.7637       -1.7637       
215           215000        -2.5939       -0.0535       -2.6474       -2.6474       
216           216000        -2.4891       -0.0669       -2.556        -2.556        
217           217000        -3.4182       -0.0509       -3.4691       -3.4691       
218           218000        -2.5898       -0.0464       -2.6362       -2.6362       
219           219000        -2.473        -0.0478       -2.5208       -2.5208       
220           220000        -2.2177       -0.0512       -2.2689       -2.2689       
221           221000        -3.9532       -0.0727       -4.0259       -4.0259       
222           222000        -2.3952       -0.0665       -2.4617       -2.4617       
223           223000        -3.1921       -0.061        -3.2531       -3.2531       
224           224000        -3.1991       -0.0431       -3.2422       -3.2422       
225           225000        -3.7587       -0.0418       -3.8005       -3.8005       
226           226000        -2.1903       -0.0297       -2.22         -2.22         
227           227000        -4.9352       -0.0321       -4.9673       -4.9673       
228           228000        -3.5508       -0.0333       -3.5841       -3.5841       
229           229000        -2.779        -0.0397       -2.8187       -2.8187       
230           230000        -1.7715       -0.0462       -1.8177       -1.8177       
231           231000        -2.7721       -0.0579       -2.83         -2.83         
232           232000        -1.9418       -0.0487       -1.9905       -1.9905       
233           233000        -1.638        -0.0588       -1.6968       -1.6968       
234           234000        -1.7936       -0.0418       -1.8354       -1.8354       
235           235000        -1.8463       -0.0354       -1.8817       -1.8817       
236           236000        -2.3775       -0.0768       -2.4543       -2.4543       
237           237000        -3.5261       -0.0483       -3.5744       -3.5744       
238           238000        -2.5512       -0.0484       -2.5996       -2.5996       
239           239000        -2.7759       -0.0285       -2.8044       -2.8044       
240           240000        -1.5702       -0.0465       -1.6167       -1.6167       
241           241000        -2.3627       -0.0466       -2.4093       -2.4093       
242           242000        -2.2048       -0.0269       -2.2317       -2.2317       
243           243000        -1.506        -0.0498       -1.5558       -1.5558       
244           244000        -1.0827       -0.0487       -1.1314       -1.1314       
245           245000        -2.4578       -0.0441       -2.5019       -2.5019       
246           246000        -1.4304       -0.0275       -1.4579       -1.4579       
247           247000        -2.8002       -0.0511       -2.8513       -2.8513       
248           248000        -3.8285       -0.0468       -3.8753       -3.8753       
249           249000        -3.1797       -0.0647       -3.2444       -3.2444       
250           250000        -3.416        -0.0585       -3.4745       -3.4745       
251           251000        -2.8787       -0.0308       -2.9095       -2.9095       
252           252000        -1.6726       -0.0487       -1.7213       -1.7213       
253           253000        -1.813        -0.043        -1.856        -1.856        
254           254000        -3.4972       -0.0568       -3.554        -3.554        
255           255000        -0.728        -0.036        -0.764        -0.764        
256           256000        -1.8993       -0.0397       -1.939        -1.939        
257           257000        -2.6249       -0.0622       -2.6871       -2.6871       
258           258000        -3.5323       -0.0664       -3.5987       -3.5987       
259           259000        -2.3804       -0.0675       -2.4479       -2.4479       
260           260000        -1.3175       -0.037        -1.3545       -1.3545       
261           261000        -1.5509       -0.0245       -1.5754       -1.5754       
262           262000        -1.8438       -0.0359       -1.8797       -1.8797       
263           263000        -2.361        -0.0378       -2.3988       -2.3988       
264           264000        -2.8758       -0.0562       -2.932        -2.932        
265           265000        -1.8021       -0.043        -1.8451       -1.8451       
266           266000        -3.4699       -0.0573       -3.5272       -3.5272       
267           267000        -3.2481       -0.0632       -3.3113       -3.3113       
268           268000        -2.1558       -0.0752       -2.231        -2.231        
269           269000        -1.4135       -0.0777       -1.4912       -1.4912       
270           270000        -2.2427       -0.0892       -2.3319       -2.3319       
271           271000        -2.0567       -0.0558       -2.1125       -2.1125       
