frame cylLigand relX relY relZ cyl20 cyl25 cyl30 cyl46 cyl6 distToBindingSiteCOM absX absY absZ
76 6.42601468381997e-01 6.24074088640957e+00 -4.19811166064064e-01 -2.12156550275767e+00 1.43654290649200e+01 7.11512619411640e+00 1.72741805933622e+01 2.09600080269622e+01 1.04479181049132e+01 6.60485642606617e+00 2.56211944284952e+01 -3.68709114828864e+00 8.89838097436451e+00 
77 4.96461526892352e-01 6.30744646944656e+00 -4.24078508199817e-02 -2.40527170465132e+00 1.53670123221722e+01 7.08721622771091e+00 1.67838308741962e+01 2.10173218413381e+01 1.06046644768282e+01 6.75063044196180e+00 2.52883149535284e+01 -3.59154926545283e+00 7.91835851835930e+00 
78 3.37037751508259e-01 6.01793761750331e+00 -2.06365716993195e-01 -2.26615586628314e+00 1.53770823343757e+01 6.89073119913312e+00 1.66603998536321e+01 2.09697425154353e+01 1.07075446669672e+01 6.43378756158462e+00 2.47319315297753e+01 -3.72357573592389e+00 8.43557179140890e+00 
79 7.35890019503901e-01 6.19026629993232e+00 -5.69026732273958e-01 -1.86603280089821e+00 1.50574073740849e+01 7.27317476870083e+00 1.64337641779565e+01 2.10417886284125e+01 1.04761911833339e+01 6.49039803865281e+00 2.49707441830594e+01 -3.82574468677050e+00 8.69483928613542e+00 
80 4.02516917042183e-01 5.95249741050402e+00 -3.12297942092208e-01 -2.40680106489447e+00 1.52505392888545e+01 6.85449242218330e+00 1.58132216387024e+01 2.08985208248483e+01 1.04374221681153e+01 6.42825379031267e+00 2.50380885819246e+01 -3.87858267775884e+00 8.62860210175155e+00 
81 3.73975520826576e-01 5.86080398738041e+00 -3.03084423204000e-01 -2.38831400612135e+00 1.52605439114370e+01 6.52132113048693e+00 1.58728480605690e+01 2.07476859829849e+01 1.05211893538268e+01 6.33600247300444e+00 2.47698140132874e+01 -3.67890532385445e+00 8.44054056967896e+00 
82 3.82849635993401e-01 6.14015193492713e+00 -1.46374937245704e-01 -2.14535368461805e+00 1.54690583500720e+01 6.63552157265220e+00 1.57970491531668e+01 2.02888620524713e+01 1.07508915116851e+01 6.50580001524388e+00 2.48013786825146e+01 -3.53890091635569e+00 9.15135122715923e+00 
83 6.17554320590271e-01 6.24807348609435e+00 -3.79559910559118e-01 -2.96637695731709e+00 1.53002400648286e+01 7.13414182943952e+00 1.61238858832276e+01 2.03676660958124e+01 1.07481224932865e+01 6.92689542769636e+00 2.49591698846171e+01 -3.19853431295683e+00 8.19298964223648e+00 
84 4.54388355706673e-01 6.09905670570015e+00 -2.92376930988566e-01 -2.10283807615811e+00 1.46651147647519e+01 6.70610861201256e+00 1.58012136001903e+01 2.06562642775590e+01 1.05481998487810e+01 6.45801091232126e+00 2.48682811094652e+01 -3.88190245151589e+00 8.84217628087010e+00 
85 6.33505802263562e-01 6.33782189296394e+00 -3.01043835651363e-01 -1.79284266190197e+00 1.51440568679818e+01 6.83855165116674e+00 1.59363795905825e+01 2.11751707390517e+01 1.09474734823322e+01 6.59339810327364e+00 2.49628533567156e+01 -3.47488729973261e+00 9.25917120428869e+00 
86 7.43358813329456e-01 6.14789326390018e+00 -5.99877454979904e-01 -2.65399526184580e+00 1.45262062732671e+01 7.07669006538815e+00 1.62785924581389e+01 2.12126290901024e+01 1.04422063396749e+01 6.72310459499198e+00 2.47474249305850e+01 -2.96772358480726e+00 8.23266507343740e+00 
87 1.42138164379590e-01 5.94621831256715e+00 -2.94299082846262e-03 -2.57486956968815e+00 1.46574971122641e+01 6.79327746669653e+00 1.61233225809567e+01 2.12382514490330e+01 1.10969152610153e+01 6.47977423856804e+00 2.39621416621865e+01 -2.77984578645127e+00 7.62973382591632e+00 
88 3.47724241209486e-01 5.87299240667943e+00 -2.75164917290740e-01 -2.28778856216470e+00 1.49398487507490e+01 6.66388418567517e+00 1.56097998896549e+01 2.13099654849534e+01 1.12023470048241e+01 6.30886139059921e+00 2.45306156209447e+01 -2.89193568066265e+00 8.44938992060940e+00 
89 1.81056397484199e-01 5.98665653846681e+00 -9.77654387390429e-03 -2.59835947875318e+00 1.53396958900068e+01 6.88439818058814e+00 1.61441608776663e+01 2.16304099991268e+01 1.12536906856157e+01 6.52622586731443e+00 2.52295132309649e+01 -2.63097141464704e+00 8.04607022895844e+00 
90 2.81214858785345e-01 5.84659695410225e+00 -2.11236035841085e-01 -2.11869631417351e+00 1.55229784034983e+01 6.59856147355024e+00 1.59578291605101e+01 2.17906538102551e+01 1.10929042890265e+01 6.22223357631711e+00 2.51269961090374e+01 -3.13744977849163e+00 8.72665456460074e+00 
91 9.14888958684852e-01 5.98133081778789e+00 -8.32157946564198e-01 -2.31462727934606e+00 1.48499122677024e+01 6.98418340222110e+00 1.63981033027123e+01 2.24149916524681e+01 1.11362035577871e+01 6.46732592669814e+00 2.47611924830514e+01 -3.05042842870523e+00 8.82939991471678e+00 
