Frame         Time          Elec          VdW           Nonbond       Total         
337           3370000       -1.377        -0.0589       -1.4359       -1.4359       
338           3380000       -1.8833       -0.0731       -1.9564       -1.9564       
339           3390000       -3.3723       -0.0774       -3.4497       -3.4497       
340           3400000       -2.5476       -0.0758       -2.6234       -2.6234       
341           3410000       -1.6164       -0.1014       -1.7178       -1.7178       
342           3420000       +0.2824       -0.0685       +0.2139       +0.2139       
343           3430000       -0.066        -0.0637       -0.1297       -0.1297       
344           3440000       -0.6045       -0.0868       -0.6913       -0.6913       
345           3450000       -2.48         -0.0706       -2.5506       -2.5506       
346           3460000       -0.275        -0.0635       -0.3385       -0.3385       
347           3470000       +0.0673       -0.0852       -0.0179       -0.0179       
348           3480000       +0.0363       -0.0631       -0.0268       -0.0268       
349           3490000       -1.075        -0.0663       -1.1413       -1.1413       
350           3500000       -1.3727       -0.0972       -1.4699       -1.4699       
351           3510000       +0.1703       -0.0521       +0.1182       +0.1182       
352           3520000       -0.1693       -0.0616       -0.2309       -0.2309       
353           3530000       -1.2661       -0.0988       -1.3649       -1.3649       
354           3540000       -0.4421       -0.0692       -0.5113       -0.5113       
355           3550000       +0.8107       -0.0683       +0.7424       +0.7424       
356           3560000       -0.3569       -0.0964       -0.4533       -0.4533       
357           3570000       -0.8776       -0.0992       -0.9768       -0.9768       
358           3580000       +0.3183       -0.1152       +0.2031       +0.2031       
359           3590000       -5.0084       -0.1117       -5.1201       -5.1201       
360           3600000       -4.3748       -0.0856       -4.4604       -4.4604       
361           3610000       -4.8841       -0.0912       -4.9753       -4.9753       
362           3620000       -5.3991       -0.0989       -5.498        -5.498        
363           3630000       -0.0393       -0.0946       -0.1339       -0.1339       
364           3640000       -0.7917       -0.1071       -0.8988       -0.8988       
365           3650000       -1.1686       -0.0848       -1.2534       -1.2534       
366           3660000       -0.2089       -0.0766       -0.2855       -0.2855       
367           3670000       -0.6136       -0.0898       -0.7034       -0.7034       
368           3680000       +0.4364       -0.071        +0.3654       +0.3654       
369           3690000       +0.8323       -0.0734       +0.7589       +0.7589       
370           3700000       -0.1959       -0.0693       -0.2652       -0.2652       
371           3710000       +0.2758       -0.0586       +0.2172       +0.2172       
372           3720000       -0.7933       -0.0741       -0.8674       -0.8674       
373           3730000       -3.1383       -0.0468       -3.1851       -3.1851       
374           3740000       -3.6222       -0.0434       -3.6656       -3.6656       
