Frame         Time          Elec          VdW           Nonbond       Total         
175           1750          +7.4584       -0.277        +7.1814       +7.1814       
176           1760          +3.2591       -0.3078       +2.9513       +2.9513       
177           1770          +1.57         -0.1893       +1.3807       +1.3807       
178           1780          -3.3567       -0.2138       -3.5705       -3.5705       
179           1790          -3.5974       -0.295        -3.8924       -3.8924       
180           1800          -1.5804       -0.2447       -1.8251       -1.8251       
181           1810          -4.3272       -0.3111       -4.6383       -4.6383       
182           1820          -9.802        -0.3123       -10.1143      -10.1143      
183           1830          +4.1676       -0.3555       +3.8121       +3.8121       
184           1840          +1.6139       -0.264        +1.3499       +1.3499       
185           1850          -7.9545       -0.3576       -8.3121       -8.3121       
186           1860          -2.2871       -0.3509       -2.638        -2.638        
187           1870          -2.156        -0.2427       -2.3987       -2.3987       
188           1880          -5.9978       -0.3146       -6.3124       -6.3124       
189           1890          +10.3507      -0.3574       +9.9933       +9.9933       
190           1900          +2.2049       -0.2503       +1.9546       +1.9546       
191           1910          +7.9612       -0.2641       +7.6971       +7.6971       
192           1920          -0.7064       -0.3339       -1.0403       -1.0403       
193           1930          -1.4804       -0.2626       -1.743        -1.743        
194           1940          -0.6765       -0.2165       -0.893        -0.893        
195           1950          +0.4361       -0.2202       +0.2159       +0.2159       
196           1960          -5.8613       -0.355        -6.2163       -6.2163       
197           1970          -6.06         -0.2616       -6.3216       -6.3216       
198           1980          -1.7951       -0.4002       -2.1953       -2.1953       
199           1990          +9.5565       -0.3763       +9.1802       +9.1802       
200           2000          -9.8976       -0.3558       -10.2534      -10.2534      
201           2010          -1.4257       -0.2985       -1.7242       -1.7242       
202           2020          -2.8485       -0.2277       -3.0762       -3.0762       
203           2030          +4.3473       -0.3317       +4.0156       +4.0156       
204           2040          -9.8658       -0.2529       -10.1187      -10.1187      
205           2050          +0.1757       -0.2501       -0.0744       -0.0744       
206           2060          +3.5528       -0.3186       +3.2342       +3.2342       
207           2070          +7.3774       -0.3967       +6.9807       +6.9807       
208           2080          +4.4091       -0.2666       +4.1425       +4.1425       
209           2090          -3.7683       -0.235        -4.0033       -4.0033       
210           2100          -2.2633       -0.2157       -2.479        -2.479        
211           2110          -4.011        -0.1726       -4.1836       -4.1836       
212           2120          -7.1618       -0.229        -7.3908       -7.3908       
213           2130          -4.7851       -0.2495       -5.0346       -5.0346       
214           2140          -7.1228       -0.2823       -7.4051       -7.4051       
215           2150          -7.9809       -0.2352       -8.2161       -8.2161       
216           2160          -1.5196       -0.2686       -1.7882       -1.7882       
217           2170          -7.7327       -0.2317       -7.9644       -7.9644       
218           2180          -2.8174       -0.2555       -3.0729       -3.0729       
219           2190          -7.8267       -0.2027       -8.0294       -8.0294       
220           2200          -5.9737       -0.2619       -6.2356       -6.2356       
221           2210          -4.4274       -0.2359       -4.6633       -4.6633       
222           2220          -4.6008       -0.2147       -4.8155       -4.8155       
223           2230          -7.7443       -0.2187       -7.963        -7.963        
