Frame         Time          Elec          VdW           Nonbond       Total         
165           16500         -3.4917       -0.064        -3.5557       -3.5557       
166           16600         -1.8406       -0.0628       -1.9034       -1.9034       
167           16700         -2.6141       -0.0664       -2.6805       -2.6805       
168           16800         -2.5383       -0.1047       -2.643        -2.643        
169           16900         -2.6518       -0.0881       -2.7399       -2.7399       
170           17000         -2.6162       -0.0717       -2.6879       -2.6879       
171           17100         -4.1253       -0.0887       -4.214        -4.214        
172           17200         -3.3172       -0.1261       -3.4433       -3.4433       
173           17300         -2.0544       -0.1051       -2.1595       -2.1595       
174           17400         -3.6132       -0.0893       -3.7025       -3.7025       
175           17500         -2.7158       -0.1222       -2.838        -2.838        
176           17600         -0.7176       -0.1643       -0.8819       -0.8819       
177           17700         -2.0906       -0.1004       -2.191        -2.191        
178           17800         -2.0789       -0.1087       -2.1876       -2.1876       
179           17900         -4.6465       -0.1412       -4.7877       -4.7877       
180           18000         -2.4703       -0.1057       -2.576        -2.576        
181           18100         -4.6103       -0.1508       -4.7611       -4.7611       
182           18200         -4.419        -0.1051       -4.5241       -4.5241       
183           18300         -3.767        -0.0729       -3.8399       -3.8399       
184           18400         -1.9502       -0.0967       -2.0469       -2.0469       
185           18500         -3.2975       -0.1186       -3.4161       -3.4161       
186           18600         -4.3867       -0.1529       -4.5396       -4.5396       
187           18700         -2.2326       -0.0906       -2.3232       -2.3232       
188           18800         -1.855        -0.0878       -1.9428       -1.9428       
189           18900         -2.3879       -0.1386       -2.5265       -2.5265       
190           19000         -2.638        -0.06         -2.698        -2.698        
191           19100         -3.7583       -0.0832       -3.8415       -3.8415       
192           19200         -3.4107       -0.0862       -3.4969       -3.4969       
193           19300         -3.1696       -0.0961       -3.2657       -3.2657       
194           19400         -6.2593       -0.0867       -6.346        -6.346        
195           19500         -6.4491       -0.0861       -6.5352       -6.5352       
196           19600         -7.0432       -0.1137       -7.1569       -7.1569       
197           19700         -6.0063       -0.1106       -6.1169       -6.1169       
198           19800         -4.248        -0.0812       -4.3292       -4.3292       
199           19900         -5.8437       -0.1269       -5.9706       -5.9706       
200           20000         -4.3396       -0.1521       -4.4917       -4.4917       
201           20100         -4.3725       -0.1221       -4.4946       -4.4946       
202           20200         -6.2065       -0.1272       -6.3337       -6.3337       
203           20300         -5.0682       -0.1586       -5.2268       -5.2268       
204           20400         -6.4558       -0.1381       -6.5939       -6.5939       
205           20500         -4.8712       -0.0795       -4.9507       -4.9507       
206           20600         -6.8395       -0.1027       -6.9422       -6.9422       
207           20700         -6.8116       -0.126        -6.9376       -6.9376       
208           20800         -5.5822       -0.1267       -5.7089       -5.7089       
209           20900         -5.5514       -0.0976       -5.649        -5.649        
210           21000         -6.5255       -0.0935       -6.619        -6.619        
211           21100         -3.4972       -0.0733       -3.5705       -3.5705       
212           21200         -4.2166       -0.0879       -4.3045       -4.3045       
213           21300         -5.8711       -0.187        -6.0581       -6.0581       
214           21400         -3.1481       -0.0835       -3.2316       -3.2316       
215           21500         -5.3939       -0.1094       -5.5033       -5.5033       
216           21600         -6.0992       -0.1148       -6.214        -6.214        
217           21700         -4.0994       -0.0509       -4.1503       -4.1503       
218           21800         -5.4567       -0.0877       -5.5444       -5.5444       
219           21900         -5.0803       -0.1107       -5.191        -5.191        
220           22000         -4.9386       -0.0811       -5.0197       -5.0197       
221           22100         -6.0102       -0.0976       -6.1078       -6.1078       
222           22200         -5.7713       -0.0935       -5.8648       -5.8648       
223           22300         -4.4386       -0.0672       -4.5058       -4.5058       
224           22400         -5.3101       -0.1108       -5.4209       -5.4209       
225           22500         -6.2529       -0.1113       -6.3642       -6.3642       
226           22600         -5.7532       -0.0921       -5.8453       -5.8453       
227           22700         -5.2404       -0.0774       -5.3178       -5.3178       
228           22800         -5.2234       -0.1015       -5.3249       -5.3249       
229           22900         -5.7023       -0.0723       -5.7746       -5.7746       
230           23000         -6.2354       -0.1009       -6.3363       -6.3363       
231           23100         -4.7172       -0.0895       -4.8067       -4.8067       
232           23200         -5.4669       -0.1034       -5.5703       -5.5703       
233           23300         -4.629        -0.115        -4.744        -4.744        
234           23400         -4.6878       -0.1147       -4.8025       -4.8025       
235           23500         -4.2375       -0.0898       -4.3273       -4.3273       
236           23600         -5.9793       -0.0866       -6.0659       -6.0659       
237           23700         -6.0806       -0.1091       -6.1897       -6.1897       
238           23800         -8.3301       -0.0902       -8.4203       -8.4203       
239           23900         -4.7951       -0.0617       -4.8568       -4.8568       
240           24000         -2.6759       -0.0782       -2.7541       -2.7541       
241           24100         -3.5151       -0.0738       -3.5889       -3.5889       
242           24200         -3.4142       -0.0983       -3.5125       -3.5125       
243           24300         -1.9016       -0.1005       -2.0021       -2.0021       
244           24400         -4.2347       -0.0848       -4.3195       -4.3195       
245           24500         -2.9783       -0.061        -3.0393       -3.0393       
246           24600         -2.3835       -0.0761       -2.4596       -2.4596       
247           24700         -3.1156       -0.0895       -3.2051       -3.2051       
248           24800         -3.0761       -0.054        -3.1301       -3.1301       
249           24900         -3.7626       -0.0914       -3.854        -3.854        
250           25000         -2.2261       -0.0473       -2.2734       -2.2734       
251           25100         -2.1462       -0.0756       -2.2218       -2.2218       
252           25200         -2.6357       -0.0601       -2.6958       -2.6958       
253           25300         -3.6          -0.0646       -3.6646       -3.6646       
254           25400         -3.3162       -0.0542       -3.3704       -3.3704       
255           25500         -2.6738       -0.0338       -2.7076       -2.7076       
256           25600         -1.2888       -0.0619       -1.3507       -1.3507       
257           25700         -2.9417       -0.0666       -3.0083       -3.0083       
258           25800         -4.2384       -0.053        -4.2914       -4.2914       
259           25900         -3.6926       -0.0778       -3.7704       -3.7704       
260           26000         -0.9614       -0.0451       -1.0065       -1.0065       
261           26100         -1.6488       -0.0746       -1.7234       -1.7234       
262           26200         -2.6847       -0.0906       -2.7753       -2.7753       
263           26300         -0.9927       -0.0756       -1.0683       -1.0683       
264           26400         -3.4576       -0.0819       -3.5395       -3.5395       
265           26500         -1.7337       -0.0699       -1.8036       -1.8036       
266           26600         -2.5907       -0.0783       -2.669        -2.669        
267           26700         -2.3126       -0.056        -2.3686       -2.3686       
268           26800         -2.2905       -0.0896       -2.3801       -2.3801       
269           26900         -1.7358       -0.0912       -1.827        -1.827        
270           27000         -0.6483       -0.1129       -0.7612       -0.7612       
271           27100         -2.6798       -0.0701       -2.7499       -2.7499       
272           27200         -3.1278       -0.1131       -3.2409       -3.2409       
273           27300         -1.9674       -0.0977       -2.0651       -2.0651       
274           27400         -2.938        -0.0932       -3.0312       -3.0312       
275           27500         -1.3397       -0.0489       -1.3886       -1.3886       
276           27600         -1.9406       -0.0528       -1.9934       -1.9934       
277           27700         -3.3392       -0.0663       -3.4055       -3.4055       
278           27800         -3.6442       -0.0517       -3.6959       -3.6959       
279           27900         -2.6465       -0.0704       -2.7169       -2.7169       
280           28000         -1.8711       -0.0712       -1.9423       -1.9423       
281           28100         -2.2273       -0.0632       -2.2905       -2.2905       
282           28200         -2.5147       -0.0624       -2.5771       -2.5771       
283           28300         -3.6139       -0.0918       -3.7057       -3.7057       
284           28400         -3.2715       -0.0471       -3.3186       -3.3186       
285           28500         -2.5032       -0.0482       -2.5514       -2.5514       
286           28600         -2.615        -0.0424       -2.6574       -2.6574       
287           28700         -2.7471       -0.0871       -2.8342       -2.8342       
288           28800         -0.8036       -0.0505       -0.8541       -0.8541       
289           28900         -1.8551       -0.0658       -1.9209       -1.9209       
290           29000         -2.3068       -0.0542       -2.361        -2.361        
291           29100         -4.3954       -0.0765       -4.4719       -4.4719       
292           29200         -3.4376       -0.0365       -3.4741       -3.4741       
293           29300         -4.0243       -0.0894       -4.1137       -4.1137       
294           29400         -3.7099       -0.0631       -3.773        -3.773        
295           29500         -5.4316       -0.1056       -5.5372       -5.5372       
296           29600         -2.9418       -0.0627       -3.0045       -3.0045       
297           29700         -3.9987       -0.0551       -4.0538       -4.0538       
298           29800         -2.6526       -0.0619       -2.7145       -2.7145       
299           29900         -3.0835       -0.0959       -3.1794       -3.1794       
300           30000         -2.5557       -0.066        -2.6217       -2.6217       
301           30100         -3.5124       -0.0726       -3.585        -3.585        
302           30200         -2.8927       -0.0748       -2.9675       -2.9675       
303           30300         -5.3802       -0.095        -5.4752       -5.4752       
304           30400         -4.4642       -0.0925       -4.5567       -4.5567       
305           30500         -3.44         -0.0916       -3.5316       -3.5316       
306           30600         -4.6775       -0.091        -4.7685       -4.7685       
307           30700         -2.5862       -0.107        -2.6932       -2.6932       
308           30800         -2.7478       -0.0895       -2.8373       -2.8373       
309           30900         -2.8567       -0.0904       -2.9471       -2.9471       
310           31000         -2.8884       -0.0589       -2.9473       -2.9473       
311           31100         -2.9571       -0.072        -3.0291       -3.0291       
312           31200         -1.3777       -0.0977       -1.4754       -1.4754       
313           31300         -3.2923       -0.1038       -3.3961       -3.3961       
314           31400         -2.6796       -0.1097       -2.7893       -2.7893       
315           31500         -2.6517       -0.1151       -2.7668       -2.7668       
316           31600         -2.251        -0.0837       -2.3347       -2.3347       
317           31700         -2.2252       -0.073        -2.2982       -2.2982       
318           31800         -1.9859       -0.1112       -2.0971       -2.0971       
319           31900         -1.2195       -0.1269       -1.3464       -1.3464       
320           32000         -2.7687       -0.0863       -2.855        -2.855        
321           32100         -2.4527       -0.1156       -2.5683       -2.5683       
322           32200         -1.6402       -0.0735       -1.7137       -1.7137       
323           32300         -1.6602       -0.0892       -1.7494       -1.7494       
324           32400         -3.6471       -0.0887       -3.7358       -3.7358       
325           32500         -2.4912       -0.0927       -2.5839       -2.5839       
326           32600         -2.314        -0.1059       -2.4199       -2.4199       
327           32700         -2.9192       -0.1139       -3.0331       -3.0331       
328           32800         -2.8121       -0.1067       -2.9188       -2.9188       
329           32900         -1.9906       -0.0956       -2.0862       -2.0862       
330           33000         -2.8217       -0.0787       -2.9004       -2.9004       
331           33100         -2.1841       -0.1104       -2.2945       -2.2945       
332           33200         -2.1147       -0.0825       -2.1972       -2.1972       
333           33300         -3.0058       -0.0541       -3.0599       -3.0599       
334           33400         -1.6197       -0.0417       -1.6614       -1.6614       
335           33500         -1.77         -0.0484       -1.8184       -1.8184       
336           33600         -2.7875       -0.0283       -2.8158       -2.8158       
337           33700         -3.7687       -0.0524       -3.8211       -3.8211       
338           33800         -2.9696       -0.0682       -3.0378       -3.0378       
339           33900         -3.7061       -0.0367       -3.7428       -3.7428       
340           34000         -3.8835       -0.0585       -3.942        -3.942        
341           34100         -2.3263       -0.0438       -2.3701       -2.3701       
342           34200         -1.3367       -0.0304       -1.3671       -1.3671       
343           34300         -2.3979       -0.0493       -2.4472       -2.4472       
344           34400         -1.9998       -0.0741       -2.0739       -2.0739       
345           34500         -3.7197       -0.0808       -3.8005       -3.8005       
346           34600         -2.3974       -0.0318       -2.4292       -2.4292       
347           34700         -3.3593       -0.0358       -3.3951       -3.3951       
348           34800         -2.4414       -0.0437       -2.4851       -2.4851       
349           34900         -1.4582       -0.0261       -1.4843       -1.4843       
350           35000         -1.7344       -0.0529       -1.7873       -1.7873       
351           35100         -2.4184       -0.0535       -2.4719       -2.4719       
352           35200         -1.9056       -0.0492       -1.9548       -1.9548       
353           35300         -2.7254       -0.0464       -2.7718       -2.7718       
354           35400         -2.0243       -0.0389       -2.0632       -2.0632       
355           35500         -2.9179       -0.0447       -2.9626       -2.9626       
356           35600         -1.2612       -0.0258       -1.287        -1.287        
357           35700         -2.8384       -0.0451       -2.8835       -2.8835       
358           35800         -2.0256       -0.0418       -2.0674       -2.0674       
359           35900         -3.3102       -0.0417       -3.3519       -3.3519       
360           36000         -2.8498       -0.0329       -2.8827       -2.8827       
361           36100         -3.1457       -0.0569       -3.2026       -3.2026       
362           36200         -3.2304       -0.0336       -3.264        -3.264        
363           36300         -2.3922       -0.0517       -2.4439       -2.4439       
364           36400         -2.6511       -0.038        -2.6891       -2.6891       
365           36500         -2.8344       -0.0306       -2.865        -2.865        
366           36600         -2.9163       -0.0421       -2.9584       -2.9584       
367           36700         -3.1333       -0.0462       -3.1795       -3.1795       
368           36800         -2.4098       -0.0532       -2.463        -2.463        
369           36900         -2.847        -0.044        -2.891        -2.891        
370           37000         -3.2022       -0.0514       -3.2536       -3.2536       
371           37100         -2.506        -0.0324       -2.5384       -2.5384       
372           37200         -4.4415       -0.0492       -4.4907       -4.4907       
373           37300         -2.9131       -0.0484       -2.9615       -2.9615       
374           37400         -2.0217       -0.0538       -2.0755       -2.0755       
375           37500         -1.3091       -0.0419       -1.351        -1.351        
376           37600         -2.3242       -0.0485       -2.3727       -2.3727       
377           37700         -2.1002       -0.0563       -2.1565       -2.1565       
378           37800         -3.1449       -0.0703       -3.2152       -3.2152       
379           37900         -1.3628       -0.0536       -1.4164       -1.4164       
380           38000         -1.1892       -0.0498       -1.239        -1.239        
381           38100         -4.7074       -0.0396       -4.747        -4.747        
382           38200         -2.6956       -0.0216       -2.7172       -2.7172       
383           38300         -1.7615       -0.0422       -1.8037       -1.8037       
384           38400         -2.359        -0.051        -2.41         -2.41         
385           38500         -1.0666       -0.0445       -1.1111       -1.1111       
386           38600         -2.4602       -0.0447       -2.5049       -2.5049       
387           38700         -1.1328       -0.0584       -1.1912       -1.1912       
388           38800         -2.9952       -0.0687       -3.0639       -3.0639       
389           38900         -1.2212       -0.0507       -1.2719       -1.2719       
390           39000         -0.9579       -0.0465       -1.0044       -1.0044       
391           39100         -1.9138       -0.0502       -1.964        -1.964        
392           39200         -0.5672       -0.0561       -0.6233       -0.6233       
393           39300         -3.5787       -0.0525       -3.6312       -3.6312       
394           39400         -1.8949       -0.0378       -1.9327       -1.9327       
395           39500         -2.5011       -0.0782       -2.5793       -2.5793       
396           39600         -2.0074       -0.0519       -2.0593       -2.0593       
397           39700         -2.7911       -0.0564       -2.8475       -2.8475       
398           39800         -2.2051       -0.0483       -2.2534       -2.2534       
399           39900         -2.9087       -0.0632       -2.9719       -2.9719       
400           40000         -2.0291       -0.0531       -2.0822       -2.0822       
401           40100         -5.3009       -0.0428       -5.3437       -5.3437       
402           40200         -2.4119       -0.0327       -2.4446       -2.4446       
403           40300         -2.8919       -0.0638       -2.9557       -2.9557       
404           40400         -3.3433       -0.0661       -3.4094       -3.4094       
405           40500         -3.207        -0.0641       -3.2711       -3.2711       
406           40600         -4.8902       -0.0551       -4.9453       -4.9453       
407           40700         -4.2622       -0.0831       -4.3453       -4.3453       
408           40800         -5.2567       -0.0971       -5.3538       -5.3538       
409           40900         -7.5122       -0.1129       -7.6251       -7.6251       
410           41000         -2.1228       -0.0473       -2.1701       -2.1701       
411           41100         -5.473        -0.0759       -5.5489       -5.5489       
412           41200         -4.4237       -0.0737       -4.4974       -4.4974       
413           41300         -3.0239       -0.0825       -3.1064       -3.1064       
414           41400         -3.8699       -0.0534       -3.9233       -3.9233       
415           41500         -3.5103       -0.0802       -3.5905       -3.5905       
416           41600         -2.6182       -0.0771       -2.6953       -2.6953       
417           41700         -3.3869       -0.0525       -3.4394       -3.4394       
418           41800         -4.2642       -0.0543       -4.3185       -4.3185       
419           41900         -4.2393       -0.0625       -4.3018       -4.3018       
420           42000         -3.8695       -0.0737       -3.9432       -3.9432       
421           42100         -2.0308       -0.0623       -2.0931       -2.0931       
422           42200         -3.3306       -0.0577       -3.3883       -3.3883       
423           42300         -1.775        -0.0448       -1.8198       -1.8198       
424           42400         -4.1971       -0.0423       -4.2394       -4.2394       
425           42500         -2.7071       -0.0537       -2.7608       -2.7608       
426           42600         -2.676        -0.0842       -2.7602       -2.7602       
427           42700         -2.0946       -0.0989       -2.1935       -2.1935       
428           42800         -2.5817       -0.0417       -2.6234       -2.6234       
429           42900         -5.6972       -0.0604       -5.7576       -5.7576       
430           43000         -3.3003       -0.0545       -3.3548       -3.3548       
431           43100         -2.6343       -0.0503       -2.6846       -2.6846       
432           43200         -2.1891       -0.0845       -2.2736       -2.2736       
433           43300         -1.71         -0.0608       -1.7708       -1.7708       
434           43400         -2.0893       -0.0599       -2.1492       -2.1492       
435           43500         -1.603        -0.0565       -1.6595       -1.6595       
436           43600         -2.3315       -0.0786       -2.4101       -2.4101       
437           43700         -1.9811       -0.1036       -2.0847       -2.0847       
438           43800         -0.8121       -0.103        -0.9151       -0.9151       
439           43900         -1.6997       -0.0724       -1.7721       -1.7721       
440           44000         -2.5087       -0.0756       -2.5843       -2.5843       
441           44100         -1.9815       -0.0881       -2.0696       -2.0696       
442           44200         -2.0339       -0.0448       -2.0787       -2.0787       
